TRAINING_TIME	TOTAL_MEALS	MEAL_DESCRIPTION	MEAL_#_OF_DAY	PRO	CHO	FAT	FIBER	SODIUM	WATER
AFTER 6PM	6	MEAL 1	1	0.15	0.1	0.25	0.2	0.1	0.165
AFTER 6PM	6	MEAL 2	2	0.15	0.05	0.2	0.2	0.1	0.165
AFTER 6PM	6	MEAL 3	3	0.15	0.05	0.2	0.2	0.1	0.165
AFTER 6PM	6	PRE-TRAINING	4	0.15	0.15	0.2	0.1	0.3	0.165
AFTER 6PM	6	POST-TRAINING	5	0.2	0.25	0.05	0.1	0.3	0.165
AFTER 6PM	6	MEAL 6	6	0.2	0.4	0.1	0.2	0.1	0.165
BEFORE 9AM	1	ONLY MEAL	1	1	1	1	1	1	1
BEFORE 9AM	2	PRE-TRAINING	1	0.4	0.3	0.1	0.5	0.5	0.5
BEFORE 9AM	2	POST-TRAINING	2	0.6	0.7	0.9	0.5	0.5	0.5
BEFORE 9AM	3	PRE-TRAINING	1	0.25	0.4	0.05	0.1	0.33	0.33
BEFORE 9AM	3	POST-TRAINING	2	0.35	0.4	0.05	0.1	0.33	0.33
BEFORE 9AM	3	MEAL 3	3	0.4	0.2	0.9	0.8	0.33	0.33
BEFORE 9AM	4	PRE-TRAINING	1	0.2	0.3	0.05	0.1	0.33	0.25
BEFORE 9AM	4	POST-TRAINING	2	0.3	0.4	0.05	0.1	0.33	0.25
BEFORE 9AM	4	MEAL 3	3	0.2	0.2	0.4	0.3	0.16	0.25
BEFORE 9AM	4	MEAL 4	4	0.3	0.1	0.5	0.5	0.16	0.25
BEFORE 9AM	5	PRE-TRAINING	1	0.15	0.25	0.05	0.1	0.3	0.2
BEFORE 9AM	5	POST-TRAINING	2	0.25	0.35	0.05	0.1	0.3	0.2
BEFORE 9AM	5	MEAL 3	3	0.15	0.2	0.2	0.2	0.2	0.2
BEFORE 9AM	5	MEAL 4	4	0.15	0.1	0.3	0.3	0.1	0.2
BEFORE 9AM	5	MEAL 5	5	0.3	0.1	0.3	0.3	0.1	0.2
BEFORE 9AM	6	PRE-TRAINING	1	0.15	0.2	0.05	0.1	0.3	0.165
BEFORE 9AM	6	POST-TRAINING	2	0.2	0.3	0.05	0.1	0.3	0.165
BEFORE 9AM	6	MEAL 3	3	0.15	0.2	0.15	0.1	0.1	0.165
BEFORE 9AM	6	MEAL 4	4	0.15	0.1	0.2	0.2	0.1	0.165
BEFORE 9AM	6	MEAL 5	5	0.15	0.1	0.2	0.2	0.1	0.165
BEFORE 9AM	6	MEAL 6	6	0.2	0.1	0.35	0.3	0.1	0.165
9AM-3PM	1	ONLY MEAL	1	1	1	1	1	1	1
9AM-3PM	2	PRE-TRAINING	1	0.5	0.5	0.3	0.5	0.5	0.5
9AM-3PM	2	POST-TRAINING	2	0.5	0.5	0.7	0.5	0.5	0.5
9AM-3PM	3	MEAL 1	1	0.3	0.2	0.5	0.8	0.33	0.33
9AM-3PM	3	PRE-TRAINING	2	0.3	0.3	0.1	0.1	0.33	0.33
9AM-3PM	3	POST-TRAINING	3	0.4	0.5	0.4	0.1	0.33	0.33
9AM-3PM	4	MEAL 1	1	0.2	0.2	0.4	0.4	0.16	0.25
9AM-3PM	4	PRE-TRAINING	2	0.2	0.25	0.05	0.1	0.33	0.25
9AM-3PM	4	POST-TRAINING	3	0.3	0.4	0.1	0.1	0.33	0.25
9AM-3PM	4	MEAL 4	4	0.3	0.15	0.45	0.4	0.16	0.25
9AM-3PM	5	MEAL 1	1	0.15	0.1	0.3	0.3	0.1	0.2
9AM-3PM	5	MEAL 2	2	0.15	0.2	0.1	0.2	0.1	0.2
9AM-3PM	5	PRE-TRAINING	3	0.2	0.3	0.05	0.1	0.3	0.2
9AM-3PM	5	POST-TRAINING	4	0.25	0.25	0.1	0.1	0.3	0.2
9AM-3PM	5	MEAL 5	5	0.25	0.15	0.45	0.3	0.1	0.2
9AM-3PM	6	MEAL 1	1	0.15	0.1	0.3	0.15	0.1	0.165
9AM-3PM	6	MEAL 2	2	0.15	0.15	0.15	0.15	0.1	0.165
9AM-3PM	6	PRE-TRAINING	3	0.15	0.2	0.05	0.1	0.3	0.165
9AM-3PM	6	POST-TRAINING	4	0.2	0.3	0.05	0.1	0.3	0.165
9AM-3PM	6	MEAL 5	5	0.15	0.15	0.15	0.2	0.1	0.165
9AM-3PM	6	MEAL 6	6	0.2	0.1	0.3	0.3	0.1	0.165
3PM-6PM	1	ONLY MEAL	1	1	1	1	1	1	1
3PM-6PM	2	PRE-TRAINING	1	0.5	0.4	0.6	0.5	0.5	0.5
3PM-6PM	2	POST-TRAINING	2	0.5	0.6	0.4	0.5	0.5	0.5
3PM-6PM	3	MEAL 1	1	0.35	0.3	0.35	0.8	0.33	0.33
3PM-6PM	3	PRE-TRAINING	2	0.3	0.3	0.1	0.1	0.33	0.33
3PM-6PM	3	POST-TRAINING	3	0.35	0.4	0.55	0.1	0.33	0.33
3PM-6PM	4	MEAL 1	1	0.25	0.2	0.15	0.4	0.16	0.25
3PM-6PM	4	PRE-TRAINING	2	0.25	0.2	0.15	0.1	0.33	0.25
3PM-6PM	4	POST-TRAINING	3	0.25	0.35	0.1	0.1	0.33	0.25
3PM-6PM	4	MEAL 4	4	0.25	0.25	0.6	0.4	0.16	0.25
3PM-6PM	5	MEAL 1	1	0.2	0.2	0.1	0.2	0.1	0.2
3PM-6PM	5	MEAL 2	2	0.2	0.1	0.2	0.2	0.2	0.2
3PM-6PM	5	PRE-TRAINING	3	0.2	0.2	0.1	0.1	0.3	0.2
3PM-6PM	5	POST-TRAINING	4	0.2	0.3	0.05	0.1	0.3	0.2
3PM-6PM	5	MEAL 5	5	0.2	0.2	0.55	0.4	0.1	0.2
3PM-6PM	6	MEAL 1	1	0.15	0.1	0.05	0.2	0.1	0.165
3PM-6PM	6	MEAL 2	2	0.15	0.1	0.2	0.2	0.1	0.165
3PM-6PM	6	MEAL 3	3	0.15	0.1	0.1	0.1	0.1	0.165
3PM-6PM	6	PRE-TRAINING	4	0.15	0.25	0.1	0.1	0.3	0.165
3PM-6PM	6	POST-TRAINING	5	0.25	0.2	0.05	0.1	0.3	0.165
3PM-6PM	6	MEAL 6	6	0.15	0.25	0.5	0.3	0.1	0.165
AFTER 6PM	1	ONLY MEAL	1	1	1	1	1	1	1
AFTER 6PM	2	PRE-TRAINING	1	0.5	0.3	0.2	0.5	0.5	0.5
AFTER 6PM	2	POST-TRAINING	2	0.5	0.7	0.8	0.5	0.5	0.5
AFTER 6PM	3	MEAL 1	1	0.3	0.2	0.85	0.8	0.33	0.33
AFTER 6PM	3	PRE-TRAINING	2	0.3	0.3	0.05	0.1	0.33	0.33
AFTER 6PM	3	POST-TRAINING	3	0.4	0.5	0.1	0.1	0.33	0.33
AFTER 6PM	4	MEAL 1	1	0.2	0.1	0.5	0.4	0.16	0.25
AFTER 6PM	4	MEAL 2	2	0.2	0.1	0.35	0.4	0.16	0.25
AFTER 6PM	4	PRE-TRAINING	3	0.3	0.3	0.05	0.1	0.33	0.25
AFTER 6PM	4	POST-TRAINING	4	0.3	0.5	0.1	0.1	0.33	0.25
AFTER 6PM	5	MEAL 1	1	0.2	0.1	0.4	0.4	0.1	0.2
AFTER 6PM	5	MEAL 2	2	0.15	0.1	0.25	0.2	0.1	0.2
AFTER 6PM	5	MEAL 3	3	0.15	0.1	0.2	0.2	0.2	0.2
AFTER 6PM	5	PRE-TRAINING	4	0.2	0.2	0.05	0.1	0.3	0.2
AFTER 6PM	5	POST-TRAINING	5	0.3	0.5	0.1	0.1	0.3	0.2
AFTER 6PM	6	MEAL 1	1	0.15	0.1	0.25	0.3	0.1	0.165
AFTER 6PM	6	MEAL 2	2	0.15	0.05	0.2	0.2	0.1	0.165
AFTER 6PM	6	MEAL 3	3	0.15	0.05	0.2	0.1	0.1	0.165
AFTER 6PM	6	PRE-TRAINING	4	0.15	0.15	0.2	0.1	0.3	0.165
AFTER 6PM	6	POST-TRAINING	5	0.2	0.25	0.05	0.1	0.3	0.165
AFTER 6PM	6	MEAL 6	6	0.2	0.4	0.1	0.2	0.1	0.165
REST DAY	1	ONLY MEAL	1	1	1	1	1	1	1
REST DAY	2	MEAL 1	1	0.5	0.5	0.5	0.5	0.5	0.5
REST DAY	2	MEAL 2	2	0.5	0.5	0.5	0.5	0.5	0.5
REST DAY	3	MEAL 1	1	0.33	0.33	0.33	0.33	0.33	0.33
REST DAY	3	MEAL 2	2	0.33	0.33	0.33	0.33	0.33	0.33
REST DAY	3	MEAL 3	3	0.34	0.34	0.34	0.34	0.34	0.34
REST DAY	4	MEAL 1	1	0.25	0.25	0.25	0.25	0.25	0.25
REST DAY	4	MEAL 2	2	0.25	0.25	0.25	0.25	0.25	0.25
REST DAY	4	MEAL 3	3	0.25	0.25	0.25	0.25	0.25	0.25
REST DAY	4	MEAL 4	4	0.25	0.25	0.25	0.25	0.25	0.25
REST DAY	5	MEAL 1	1	0.2	0.2	0.2	0.2	0.2	0.2
REST DAY	5	MEAL 2	2	0.2	0.2	0.2	0.2	0.2	0.2
REST DAY	5	MEAL 3	3	0.2	0.2	0.2	0.2	0.2	0.2
REST DAY	5	MEAL 4	4	0.2	0.2	0.2	0.2	0.2	0.2
REST DAY	5	MEAL 5	5	0.2	0.2	0.2	0.2	0.2	0.2
REST DAY	6	MEAL 1	1	0.17	0.17	0.17	0.17	0.17	0.17
REST DAY	6	MEAL 2	2	0.17	0.17	0.17	0.17	0.17	0.17
REST DAY	6	MEAL 3	3	0.17	0.17	0.17	0.17	0.17	0.17
REST DAY	6	MEAL 4	4	0.17	0.17	0.17	0.17	0.17	0.17
REST DAY	6	MEAL 5	5	0.17	0.17	0.17	0.17	0.17	0.17
REST DAY	6	MEAL 6	6	0.17	0.17	0.17	0.17	0.17	0.17
